"Log_BG","Log_Freq_HAL","Ortho_N","Stimulus","Type","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Experimental_intro","correct_Introduction","correct_Practice_intro","correct_experimenter_kb","correct_response","count_End_Of_Experiment","count_End_Of_Practice","count_Experimental_Loop","count_Experimental_intro","count_Fixation","count_Introduction","count_Practice_Loop","count_Practice_intro","count_Stimulus","count_block_break_feedback","count_experimental_sequence","count_experimenter_kb","count_increment_trial_count","count_init_trial_count","count_logger","count_practice_sequence","count_right","count_task","count_wrong","datetime","description","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Experimental_Loop","live_row_Practice_Loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_data","osf_always_upload_experiment","osf_datanode_id","osf_id","repeat_cycle","response","response_End_Of_Experiment","response_Experimental_intro","response_Introduction","response_Practice_intro","response_block_break_feedback","response_experimenter_kb","response_time","response_time_End_Of_Experiment","response_time_Experimental_intro","response_time_Introduction","response_time_Practice_intro","response_time_block_break_feedback","response_time_experimenter_kb","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_End_Of_Experiment","time_End_Of_Practice","time_Experimental_Loop","time_Experimental_intro","time_Fixation","time_Introduction","time_Practice_Loop","time_Practice_intro","time_Stimulus","time_block_break_feedback","time_experimental_sequence","time_experimenter_kb","time_increment_trial_count","time_init_trial_count","time_logger","time_practice_sequence","time_right","time_task","time_wrong","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"3.076883066","0","8","mout","non-word","93.33333333333333","93.33333333333333","1242.3333333333333","1242.3333333333333","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","14","0","0","0","14","NA","10","14","10","0","10","3","14","0","14","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","10","10","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","1122","NA","2002","27712","6523","NA","1122","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","76099","4024","38263","31739","76604","NA","76097","76604","76024","51856","77727","45838","75524","4013","55417","Lexical Decision Task","14","18635","15","yes","1024"
"3.20871002","7.15","8","cram","word","93.75","93.75","1221.6875","1221.6875","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","15","0","0","0","15","NA","11","15","11","0","11","3","15","0","15","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","11","11","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","912","NA","2002","27712","6523","NA","912","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","78311","4024","38263","31739","78812","NA","78309","78813","78237","51856","79725","45838","77737","4013","55417","Lexical Decision Task","15","19547","16","yes","1024"
"3.263399331","0","8","cour","non-word","94.11764705882354","94.11764705882354","1221.7058823529412","1221.7058823529412","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","16","0","0","0","16","NA","12","16","12","0","12","3","16","0","16","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","12","12","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","1222","NA","2002","27712","6523","NA","1222","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","80304","4024","38263","31739","80807","NA","80303","80807","80229","51856","82030","45838","79729","4013","55417","Lexical Decision Task","16","20769","17","yes","1024"
"2.664011697","8.19","4","hawk","word","94.44444444444444","94.44444444444444","1207.7222222222222","1207.7222222222222","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","17","0","0","0","17","NA","13","17","13","0","13","3","17","0","17","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","13","13","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","970","NA","2002","27712","6523","NA","970","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","82608","4024","38263","31739","83111","NA","82606","83111","82534","51856","84082","45838","82034","4013","55417","Lexical Decision Task","17","21739","18","yes","1024"
"3.269668578","0","7","trag","non-word","94.73684210526316","94.73684210526316","1200.0526315789473","1200.0526315789473","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","18","0","0","0","18","NA","14","18","14","0","14","3","18","0","18","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","14","14","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","1062","NA","2002","27712","6523","NA","1062","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","84670","4024","38263","31739","85175","NA","84668","85176","84591","51856","86239","45838","84091","4013","55417","Lexical Decision Task","18","22801","19","yes","1024"
"3.20996159","0","4","clee","non-word","95","95","1216.9","1216.9","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","19","0","0","0","19","NA","15","19","15","0","15","3","19","0","19","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","15","15","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","1537","NA","2002","27712","6523","NA","1537","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","86822","4024","38263","31739","87326","NA","86820","87327","86743","51856","88864","45838","86243","4013","55417","Lexical Decision Task","19","24338","20","yes","1024"
"3.209246849","0","7","slem","non-word","95.23809523809524","95.23809523809524","1203.5238095238096","1203.5238095238096","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","20","0","0","0","20","NA","16","20","16","0","16","3","20","0","20","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","16","16","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","936","NA","2002","27712","6523","NA","936","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","89436","4024","38263","31739","89941","NA","89434","89941","89368","51856","90878","45838","88868","4013","55417","Lexical Decision Task","20","25274","21","yes","1024"
"2.899092422","7.27","6","snag","word","95.45454545454545","95.45454545454545","1185.5","1185.5","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","21","0","0","0","21","NA","17","21","17","0","17","3","21","0","21","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","17","17","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","807","NA","2002","27712","6523","NA","807","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","91457","4024","38263","31739","91958","NA","91455","91958","91382","51856","92766","45838","90882","4013","55417","Lexical Decision Task","21","26081","22","yes","1024"
"3.363486562","6.93","9","lush","word","95.65217391304348","95.65217391304348","1161.0434782608695","1161.0434782608695","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","22","0","0","0","22","NA","18","22","18","0","18","3","22","0","22","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","18","18","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","623","NA","2002","27712","6523","NA","623","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","93338","4024","38263","31739","93840","NA","93337","93840","93270","51856","94464","45838","92769","4013","55417","Lexical Decision Task","22","26704","23","yes","1024"
"2.664328519","0","4","plux","non-word","95.83333333333333","95.83333333333333","1140.4583333333333","1140.4583333333333","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","23","0","0","0","23","NA","19","23","19","0","19","3","23","0","23","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","19","19","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","667","NA","2002","27712","6523","NA","667","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","95045","4024","38263","31739","95550","NA","95043","95550","94967","51856","96217","45838","94467","4013","55417","Lexical Decision Task","23","27371","24","yes","1024"
"2.709837904","6.85","8","skim","word","92","92","1139.52","1139.52","black","no","legacy","legacy","legacy","0","uniform","0","undefined","undefined","undefined","0","j","0","0","0","0","24","0","0","0","24","NA","20","24","20","0","20","3","24","0","24","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","20","20","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","1117","NA","2002","27712","6523","NA","1117","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","96807","4024","38263","31739","97312","NA","96805","97312","96727","51856","98430","45838","96227","4013","55417","Lexical Decision Task","23","28488","25","yes","1024"
"3.168890155","0","6","thet","non-word","92.3076923076923","92.3076923076923","1132.5","1132.5","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","25","0","0","0","25","NA","21","25","21","0","21","3","25","0","25","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","21","21","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","957","NA","2002","27712","6523","NA","957","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","100007","4024","38263","31739","100508","NA","100005","100508","99934","51856","101466","45838","96227","4013","98434","Lexical Decision Task","24","29445","26","yes","1024"
"3.14849993","10.75","7","hour","word","92.5925925925926","92.5925925925926","1115.2962962962963","1115.2962962962963","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","26","0","0","0","26","NA","22","26","22","0","22","3","26","0","26","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","22","22","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","668","NA","2002","27712","6523","NA","668","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","102055","4024","38263","31739","102557","NA","102053","102557","101975","51856","103226","45838","101475","4013","98434","Lexical Decision Task","25","30113","27","yes","1024"
"2.981215883","10.66","5","hair","word","92.85714285714286","92.85714285714286","1097.0714285714287","1097.0714285714287","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","27","0","0","0","27","NA","23","27","23","0","23","3","27","0","27","Thu Feb 18 13:59:43 2021","The main experiment item","yes","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/RMAS 2/Lexical_Decision_Task.osexp","no","Andale Mono","no","18","no","white","no","yes","576","legacy","23","23","3","C:/Users/username/Documents/Psych degree/SECOND YEAR/Semester 2/Cognition and language/assignment/subject-5065886.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","605","NA","2002","27712","6523","NA","605","2","legacy","1024","2","48000","-16","task","5065886","even","NA","47852","51856","49854","103822","4024","38263","31739","104327","NA","103820","104328","103736","51856","104933","45838","103236","4013","98434","Lexical Decision Task","26","30718","28","yes","1024"
